var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
cc,fraction_of_cloud_cover,cc,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Fraction of cloud cover,(0 - 1),hybrid,137
ciwc,specific_cloud_ice_water_content,ciwc,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Specific cloud ice water content,kg kg**-1,hybrid,137
clwc,specific_cloud_liquid_water_content,clwc,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Specific cloud liquid water content,kg kg**-1,hybrid,137
crwc,specific_rain_water_content,crwc,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Specific rain water content,kg kg**-1,hybrid,137
cswc,specific_snow_water_content,cswc,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Specific snow water content,kg kg**-1,hybrid,137
d,divergence,d,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Divergence,s**-1,hybrid,137
geopotential,geopotential,,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Geopotential,m**2 s**-2,hybrid,137
o3,ozone_mass_mixing_ratio,o3,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Ozone mass mixing ratio,kg kg**-1,hybrid,137
q,specific_humidity,q,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Specific humidity,kg kg**-1,hybrid,137
t,temperature,t,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Temperature,K,hybrid,137
u_component_of_wind,u_component_of_wind,,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,U component of wind,m s**-1,hybrid,137
v_component_of_wind,v_component_of_wind,,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,V component of wind,m s**-1,hybrid,137
vo,vorticity,vo,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Vorticity (relative),s**-1,hybrid,137
w,vertical_velocity,w,ml,ar/model-level-1h-0p25deg.zarr-v1,"time,hybrid,latitude,longitude",float32,Vertical velocity,Pa s**-1,hybrid,137
cc,fraction_of_cloud_cover,cc,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Fraction of cloud cover,(0 - 1),level,37
ciwc,specific_cloud_ice_water_content,ciwc,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Specific cloud ice water content,kg kg**-1,level,37
clwc,specific_cloud_liquid_water_content,clwc,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Specific cloud liquid water content,kg kg**-1,level,37
o3,ozone_mass_mixing_ratio,o3,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Ozone mass mixing ratio,kg kg**-1,level,37
pv,potential_vorticity,pv,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Potential vorticity,K m**2 kg**-1 s**-1,level,37
q,specific_humidity,q,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Specific humidity,kg kg**-1,level,37
t,temperature,t,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Temperature,K,level,37
u,u_component_of_wind,u,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,U component of wind,m s**-1,level,37
v,v_component_of_wind,v,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,V component of wind,m s**-1,level,37
w,vertical_velocity,w,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Vertical velocity,Pa s**-1,level,37
z,geopotential,z,pl,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,level,latitude,longitude",float32,Geopotential,m**2 s**-2,level,37
alnid,near_ir_albedo_for_diffuse_radiation,alnid,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Near IR albedo for diffuse radiation,(0 - 1),,0
alnip,near_ir_albedo_for_direct_radiation,alnip,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Near IR albedo for direct radiation,(0 - 1),,0
aluvd,uv_visible_albedo_for_diffuse_radiation,aluvd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,UV visible albedo for diffuse radiation,(0 - 1),,0
aluvp,uv_visible_albedo_for_direct_radiation,aluvp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,UV visible albedo for direct radiation,(0 - 1),,0
anor,angle_of_sub_gridscale_orography,anor,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Angle of sub-gridscale orography,radians,,0
asn,snow_albedo,asn,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snow albedo,(0 - 1),,0
bfi,benjamin_feir_index,bfi,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Benjamin-Feir index,dimensionless,,0
bld,boundary_layer_dissipation,bld,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Boundary layer dissipation,J m**-2,,0
blh,boundary_layer_height,blh,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Boundary layer height,m,,0
cape,convective_available_potential_energy,cape,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective available potential energy,J kg**-1,,0
cbh,cloud_base_height,cbh,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Cloud base height,m,,0
cdir,clear_sky_direct_solar_radiation_at_surface,cdir,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Clear-sky direct solar radiation at surface,J m**-2,,0
cdww,coefficient_of_drag_with_waves,cdww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Coefficient of drag with waves,dimensionless,,0
chnk,charnock,chnk,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Charnock,~,,0
cin,convective_inhibition,cin,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective inhibition,J kg**-1,,0
cl,lake_cover,cl,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Lake cover,(0 - 1),,0
cp,convective_precipitation,cp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective precipitation,m,,0
crr,convective_rain_rate,crr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective rain rate,kg m**-2 s**-1,,0
csf,convective_snowfall,csf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective snowfall,m of water equivalent,,0
csfr,convective_snowfall_rate_water_equivalent,csfr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Convective snowfall rate water equivalent,kg m**-2 s**-1,,0
cvh,high_vegetation_cover,cvh,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,High vegetation cover,(0 - 1),,0
cvl,low_vegetation_cover,cvl,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Low vegetation cover,(0 - 1),,0
d2m,2m_dewpoint_temperature,d2m,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,2 metre dewpoint temperature,K,,0
dctb,duct_base_height,dctb,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Duct base height,m,,0
deg0l,zero_degree_level,deg0l,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,0 degrees C isothermal level (atm),m,,0
dl,lake_depth,dl,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Lake total depth,m,,0
dndza,mean_vertical_gradient_of_refractivity_inside_trapping_layer,dndza,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean vertical gradient of refractivity inside trapping layer,m**-1,,0
dndzn,minimum_vertical_gradient_of_refractivity_inside_trapping_layer,dndzn,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Minimum vertical gradient of refractivity inside trapping layer,m**-1,,0
dwi,ocean_surface_stress_equivalent_10m_neutral_wind_direction,dwi,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,10 metre wind direction,degrees,,0
dwps,wave_spectral_directional_width_for_swell,dwps,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave spectral directional width for swell,radians,,0
dwww,wave_spectral_directional_width_for_wind_waves,dwww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Wave spectral directional width for wind waves,radians,,0
e,evaporation,e,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Evaporation,m of water equivalent,,0
es,snow_evaporation,es,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snow evaporation,m of water equivalent,,0
ewss,eastward_turbulent_surface_stress,ewss,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Eastward turbulent surface stress,N m**-2 s,,0
fal,forecast_albedo,fal,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Forecast albedo,(0 - 1),,0
fdir,total_sky_direct_solar_radiation_at_surface,fdir,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Total sky direct solar radiation at surface,J m**-2,,0
fg10,10m_wind_gust_since_previous_post_processing,fg10,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,10 metre wind gust since previous post-processing,m s**-1,,0
flsr,forecast_logarithm_of_surface_roughness_for_heat,flsr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Forecast logarithm of surface roughness for heat,~,,0
fsr,forecast_surface_roughness,fsr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Forecast surface roughness,m,,0
gwd,gravity_wave_dissipation,gwd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Gravity wave dissipation,J m**-2,,0
hcc,high_cloud_cover,hcc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,High cloud cover,(0 - 1),,0
hmax,maximum_individual_wave_height,hmax,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Maximum individual wave height,m,,0
