gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
clwmr        Cloud mixing ratio  1            hybrid      
icmr         Ice water mixing ratio  1            hybrid      
rwmr         Rain mixing ratio  1            hybrid      
snmr         Snow mixing ratio  1            hybrid      
grle         Graupel (snow pellets)  1            hybrid      
refc         Maximum/Composite radar reflectivity  0            atmosphere  
vis          Visibility   0            surface     
u            U component of wind  0            planetaryBoundaryLayer 
v            V component of wind  0            planetaryBoundaryLayer 
VRATE        Ventilation Rate  0            planetaryBoundaryLayer 
gust         Wind speed (gust)  0            surface     
gh           Geopotential height  40           isobaricInPa 
t            Temperature  40           isobaricInPa 
absv         Absolute vorticity  40           isobaricInPa 
o3mr         Ozone mixing ratio  40           isobaricInPa 
gh           Geopotential height  1            isobaricInhPa 
t            Temperature  1            isobaricInhPa 
r            Relative humidity  1            isobaricInhPa 
u            U component of wind  1            isobaricInhPa 
v            V component of wind  1            isobaricInhPa 
o3mr         Ozone mixing ratio  1            isobaricInhPa 
gh           Geopotential height  2            isobaricInhPa 
t            Temperature  2            isobaricInhPa 
r            Relative humidity  2            isobaricInhPa 
u            U component of wind  2            isobaricInhPa 
v            V component of wind  2            isobaricInhPa 
o3mr         Ozone mixing ratio  2            isobaricInhPa 
gh           Geopotential height  3            isobaricInhPa 
t            Temperature  3            isobaricInhPa 
r            Relative humidity  3            isobaricInhPa 
u            U component of wind  3            isobaricInhPa 
v            V component of wind  3            isobaricInhPa 
o3mr         Ozone mixing ratio  3            isobaricInhPa 
gh           Geopotential height  5            isobaricInhPa 
t            Temperature  5            isobaricInhPa 
r            Relative humidity  5            isobaricInhPa 
u            U component of wind  5            isobaricInhPa 
v            V component of wind  5            isobaricInhPa 
o3mr         Ozone mixing ratio  5            isobaricInhPa 
gh           Geopotential height  7            isobaricInhPa 
t            Temperature  7            isobaricInhPa 
r            Relative humidity  7            isobaricInhPa 
u            U component of wind  7            isobaricInhPa 
v            V component of wind  7            isobaricInhPa 
o3mr         Ozone mixing ratio  7            isobaricInhPa 
gh           Geopotential height  10           isobaricInhPa 
t            Temperature  10           isobaricInhPa 
r            Relative humidity  10           isobaricInhPa 
u            U component of wind  10           isobaricInhPa 
v            V component of wind  10           isobaricInhPa 
absv         Absolute vorticity  10           isobaricInhPa 
o3mr         Ozone mixing ratio  10           isobaricInhPa 
gh           Geopotential height  15           isobaricInhPa 
t            Temperature  15           isobaricInhPa 
absv         Absolute vorticity  15           isobaricInhPa 
o3mr         Ozone mixing ratio  15           isobaricInhPa 
gh           Geopotential height  20           isobaricInhPa 
t            Temperature  20           isobaricInhPa 
r            Relative humidity  20           isobaricInhPa 
u            U component of wind  20           isobaricInhPa 
v            V component of wind  20           isobaricInhPa 
absv         Absolute vorticity  20           isobaricInhPa 
o3mr         Ozone mixing ratio  20           isobaricInhPa 
gh           Geopotential height  30           isobaricInhPa 
t            Temperature  30           isobaricInhPa 
r            Relative humidity  30           isobaricInhPa 
u            U component of wind  30           isobaricInhPa 
v            V component of wind  30           isobaricInhPa 
absv         Absolute vorticity  30           isobaricInhPa 
o3mr         Ozone mixing ratio  30           isobaricInhPa 
gh           Geopotential height  40           isobaricInhPa 
