doc_id,documented_long_name,documented_level,normalized_level,level_alias_applied,source_var,documented_units,first_version_available,analysis_or_forecast,run_type,documentation_notes,matched_source_registry_rows,matched_families,matched_registry_levels,matched_registry_long_names
1,Hail,0.1_sigma_layer,0.1_sigma_level,1,HAIL_max_fcst,m,V4,anl,anl,,2,"prs,sfc",0.1_sigma_level,0.1_sigma_level/HAIL_max_fcst
2,Hail,0.1_sigma_layer,0.1_sigma_level,1,HAIL_1hr_max_fcst,m,V4,fcst,fcst,,1,sfc,0.1_sigma_level,0.1_sigma_level/HAIL_1hr_max_fcst
3,Vertical Velocity,0.5_0.8_sigma_layer,0.5_0.8_sigma_layer,0,DZDT_ave_fcst,m/s,V3,anl,anl,,2,"prs,sfc",0.5_0.8_sigma_layer,0.5_0.8_sigma_layer/DZDT_ave_fcst
4,Vertical Velocity,0.5_0.8_sigma_layer,0.5_0.8_sigma_layer,0,DZDT_1hr_ave_fcst,m/s,V3,fcst,fcst,,1,sfc,0.5_0.8_sigma_layer,0.5_0.8_sigma_layer/DZDT_1hr_ave_fcst
5,U-Component Vertical Wind Shear,0_1000m_above_ground,0_1000m_above_ground,0,VUCSH,1/s,V3,both,anl,,2,"prs,sfc",0_1000m_above_ground,0_1000m_above_ground/VUCSH
5,U-Component Vertical Wind Shear,0_1000m_above_ground,0_1000m_above_ground,0,VUCSH,1/s,V3,both,fcst,,1,sfc,0_1000m_above_ground,0_1000m_above_ground/VUCSH
6,V-Component Vertical Wind Shear,0_1000m_above_ground,0_1000m_above_ground,0,VVCSH,1/s,V3,both,anl,,2,"prs,sfc",0_1000m_above_ground,0_1000m_above_ground/VVCSH
6,V-Component Vertical Wind Shear,0_1000m_above_ground,0_1000m_above_ground,0,VVCSH,1/s,V3,both,fcst,,1,sfc,0_1000m_above_ground,0_1000m_above_ground/VVCSH
7,Convective Available Potential Energy,0_3000m_above_ground,0_3000m_above_ground,0,CAPE,J/kg,V4,both,anl,,2,"prs,sfc",0_3000m_above_ground,0_3000m_above_ground/CAPE
7,Convective Available Potential Energy,0_3000m_above_ground,0_3000m_above_ground,0,CAPE,J/kg,V4,both,fcst,,1,sfc,0_3000m_above_ground,0_3000m_above_ground/CAPE
8,U-Component Storm Motion,0_6000m_above_ground,0_6000m_above_ground,0,USTM,m/s,V3,both,anl,,2,"prs,sfc",0_6000m_above_ground,0_6000m_above_ground/USTM
8,U-Component Storm Motion,0_6000m_above_ground,0_6000m_above_ground,0,USTM,m/s,V3,both,fcst,,1,sfc,0_6000m_above_ground,0_6000m_above_ground/USTM
9,V-Component Storm Motion,0_6000m_above_ground,0_6000m_above_ground,0,VSTM,m/s,V3,both,anl,,2,"prs,sfc",0_6000m_above_ground,0_6000m_above_ground/VSTM
9,V-Component Storm Motion,0_6000m_above_ground,0_6000m_above_ground,0,VSTM,m/s,V3,both,fcst,,1,sfc,0_6000m_above_ground,0_6000m_above_ground/VSTM
10,U-Component Vertical Wind Shear,0_6000m_above_ground,0_6000m_above_ground,0,VUCSH,1/s,V3,both,anl,,2,"prs,sfc",0_6000m_above_ground,0_6000m_above_ground/VUCSH
10,U-Component Vertical Wind Shear,0_6000m_above_ground,0_6000m_above_ground,0,VUCSH,1/s,V3,both,fcst,,1,sfc,0_6000m_above_ground,0_6000m_above_ground/VUCSH
11,V-Component Vertical Wind Shear,0_6000m_above_ground,0_6000m_above_ground,0,VVCSH,1/s,V3,both,anl,,2,"prs,sfc",0_6000m_above_ground,0_6000m_above_ground/VVCSH
11,V-Component Vertical Wind Shear,0_6000m_above_ground,0_6000m_above_ground,0,VVCSH,1/s,V3,both,fcst,,1,sfc,0_6000m_above_ground,0_6000m_above_ground/VVCSH
12,Height of the 0°C isotherm,0C_isotherm,0C_isotherm,0,HGT,m,V3,both,anl,,2,"prs,sfc",0C_isotherm,0C_isotherm/HGT
12,Height of the 0°C isotherm,0C_isotherm,0C_isotherm,0,HGT,m,V3,both,fcst,,1,sfc,0C_isotherm,0C_isotherm/HGT
13,Pressure at the 0°C isotherm,0C_isotherm,0C_isotherm,0,PRES,Pa,V3,both,anl,,2,"prs,sfc",0C_isotherm,0C_isotherm/PRES
13,Pressure at the 0°C isotherm,0C_isotherm,0C_isotherm,0,PRES,Pa,V3,both,fcst,,1,sfc,0C_isotherm,0C_isotherm/PRES
14,Relative Humidity at the 0°C isotherm,0C_isotherm,0C_isotherm,0,RH,%,V3,both,anl,,2,"prs,sfc",0C_isotherm,0C_isotherm/RH
14,Relative Humidity at the 0°C isotherm,0C_isotherm,0C_isotherm,0,RH,%,V3,both,fcst,,1,sfc,0C_isotherm,0C_isotherm/RH
15,Moisture Availability,0m_underground,0m_underground,0,MSTAV,%,V3,both,anl,,2,"prs,sfc",0m_underground,0m_underground/MSTAV
15,Moisture Availability,0m_underground,0m_underground,0,MSTAV,%,V3,both,fcst,,1,sfc,0m_underground,0m_underground/MSTAV
16,Hourly Maximum of Upward Vertical Velocity,100_1000mb_above_ground,100_1000mb_above_ground,0,MAXUVV_max_fcst,m/s,V3,anl,anl,,2,"prs,sfc",100_1000mb_above_ground,100_1000mb_above_ground/MAXUVV_max_fcst
17,Hourly Maximum of Downward Vertical Velocity,100_1000mb_above_ground,100_1000mb_above_ground,0,MAXDVV_max_fcst,m/s,V3,anl,anl,,2,"prs,sfc",100_1000mb_above_ground,100_1000mb_above_ground/MAXDVV_max_fcst
18,Hourly Maximum of Upward Vertical Velocity,100_1000mb_above_ground,100_1000mb_above_ground,0,MAXUVV_1hr_max_fcst,m/s,V3,fcst,fcst,,1,sfc,100_1000mb_above_ground,100_1000mb_above_ground/MAXUVV_1hr_max_fcst
