target_var,long_name,units,family,level,source_var,mode,include_in_cli,notes,run_type,variable,short_name,cf_var_name,standard_name,coordinates,dims,shape,chunks,dtype,ndim,group_path,array_group,array_path,attrs_json
SOILW,0.01_0.01m_below_ground/SOILW,,prs,0.01_0.01m_below_ground,SOILW,anl,1,,anl,SOILW,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/SOILW,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/SOILW/0.01_0.01m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/SOILW/0.01_0.01m_below_ground/SOILW,"{""GRIB_PARAM"": [2, 2, 0, 192], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.01_0.01m_below_ground/SOILW""}"
TSOIL,0.01_0.01m_below_ground/TSOIL,K,prs,0.01_0.01m_below_ground,TSOIL,anl,1,,anl,TSOIL,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/TSOIL,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/TSOIL/0.01_0.01m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.01_0.01m_below_ground/TSOIL/0.01_0.01m_below_ground/TSOIL,"{""GRIB_PARAM"": [2, 2, 0, 2], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.01_0.01m_below_ground/TSOIL"", ""units"": ""K""}"
SOILW,0.04_0.04m_below_ground/SOILW,,prs,0.04_0.04m_below_ground,SOILW,anl,1,,anl,SOILW,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/SOILW,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/SOILW/0.04_0.04m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/SOILW/0.04_0.04m_below_ground/SOILW,"{""GRIB_PARAM"": [2, 2, 0, 192], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.04_0.04m_below_ground/SOILW""}"
TSOIL,0.04_0.04m_below_ground/TSOIL,K,prs,0.04_0.04m_below_ground,TSOIL,anl,1,,anl,TSOIL,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/TSOIL,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/TSOIL/0.04_0.04m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.04_0.04m_below_ground/TSOIL/0.04_0.04m_below_ground/TSOIL,"{""GRIB_PARAM"": [2, 2, 0, 2], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.04_0.04m_below_ground/TSOIL"", ""units"": ""K""}"
SOILW,0.1_0.1m_below_ground/SOILW,,prs,0.1_0.1m_below_ground,SOILW,anl,1,,anl,SOILW,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/SOILW,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/SOILW/0.1_0.1m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/SOILW/0.1_0.1m_below_ground/SOILW,"{""GRIB_PARAM"": [2, 2, 0, 192], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.1_0.1m_below_ground/SOILW""}"
TSOIL,0.1_0.1m_below_ground/TSOIL,K,prs,0.1_0.1m_below_ground,TSOIL,anl,1,,anl,TSOIL,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/TSOIL,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/TSOIL/0.1_0.1m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_0.1m_below_ground/TSOIL/0.1_0.1m_below_ground/TSOIL,"{""GRIB_PARAM"": [2, 2, 0, 2], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.1_0.1m_below_ground/TSOIL"", ""units"": ""K""}"
HAIL_max_fcst,0.1_sigma_level/HAIL_max_fcst,,prs,0.1_sigma_level,HAIL_max_fcst,anl,1,,anl,HAIL_max_fcst,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_sigma_level/HAIL_max_fcst,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_sigma_level/HAIL_max_fcst/0.1_sigma_level,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.1_sigma_level/HAIL_max_fcst/0.1_sigma_level/HAIL_max_fcst,"{""GRIB_PARAM"": [2, 0, 1, 31], ""cell_methods"": ""time: maximum"", ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.1_sigma_level/HAIL_max_fcst""}"
SOILW,0.3_0.3m_below_ground/SOILW,,prs,0.3_0.3m_below_ground,SOILW,anl,1,,anl,SOILW,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/SOILW,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/SOILW/0.3_0.3m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/SOILW/0.3_0.3m_below_ground/SOILW,"{""GRIB_PARAM"": [2, 2, 0, 192], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.3_0.3m_below_ground/SOILW""}"
TSOIL,0.3_0.3m_below_ground/TSOIL,K,prs,0.3_0.3m_below_ground,TSOIL,anl,1,,anl,TSOIL,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/TSOIL,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/TSOIL/0.3_0.3m_below_ground,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.3_0.3m_below_ground/TSOIL/0.3_0.3m_below_ground/TSOIL,"{""GRIB_PARAM"": [2, 2, 0, 2], ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.3_0.3m_below_ground/TSOIL"", ""units"": ""K""}"
DZDT_ave_fcst,0.5_0.8_sigma_layer/DZDT_ave_fcst,,prs,0.5_0.8_sigma_layer,DZDT_ave_fcst,anl,1,,anl,DZDT_ave_fcst,,,,forecast_reference_time height time forecast_period pressure,"projection_y_coordinate,projection_x_coordinate","[1059,1799]","[150,150]",float32,2,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.5_0.8_sigma_layer/DZDT_ave_fcst,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.5_0.8_sigma_layer/DZDT_ave_fcst/0.5_0.8_sigma_layer,hrrrzarr/prs/20250101/20250101_00z_anl.zarr/0.5_0.8_sigma_layer/DZDT_ave_fcst/0.5_0.8_sigma_layer/DZDT_ave_fcst,"{""GRIB_PARAM"": [2, 0, 2, 9], ""cell_methods"": ""time: mean"", ""coordinates"": ""forecast_reference_time height time forecast_period pressure"", ""long_name"": ""0.5_0.8_sigma_layer/DZDT_ave_fcst""}"
