index,source_id,experiment_id,variant,realization,ncml_timerange,sim_start_year,sim_end_year,dest_subdir
0,ERA5,evaluation,r1i1p1,v1-r1,197901010000-202012312300,1979,2020,ERA5/evaluation/r1i1p1
1,ERA5,evaluation,r1i1p1,v1-r2,197901010030-202012312330,1979,2020,ERA5/evaluation/r1i1p1
2,CNRM-ESM2-1,historical,r1i1p1f2,v1-r1,195001010000-201412312300,1950,2014,CNRM-ESM2-1/historical/r1i1p1f2
3,CNRM-ESM2-1,ssp126,r1i1p1f2,v1-r1,201501010000-210012312300,2015,2100,CNRM-ESM2-1/ssp126/r1i1p1f2
4,CNRM-ESM2-1,ssp245,r1i1p1f2,v1-r1,201501010000-210012312300,2015,2100,CNRM-ESM2-1/ssp245/r1i1p1f2
5,CNRM-ESM2-1,ssp370,r1i1p1f2,v1-r1,201501010000-210012312300,2015,2100,CNRM-ESM2-1/ssp370/r1i1p1f2
6,CanESM5,historical,r1i1p2f1,v1-r1,195001010000-201412312300,1950,2014,CanESM5/historical/r1i1p2f1
7,CanESM5,ssp126,r1i1p2f1,v1-r1,201501010000-210012312300,2015,2100,CanESM5/ssp126/r1i1p2f1
8,CanESM5,ssp245,r1i1p2f1,v1-r1,201501010000-210012312300,2015,2100,CanESM5/ssp245/r1i1p2f1
9,CanESM5,ssp370,r1i1p2f1,v1-r1,201501010000-210012312300,2015,2100,CanESM5/ssp370/r1i1p2f1
10,CanESM5,ssp585,r1i1p2f1,v1-r1,201501010000-210012312300,2015,2100,CanESM5/ssp585/r1i1p2f1
11,MPI-ESM1-2-LR,historical,r1i1p1f1,v1-r1,195001010000-201412312300,1950,2014,MPI-ESM1-2-LR/historical/r1i1p1f1
12,MPI-ESM1-2-LR,historical,r2i1p1f1,v1-r1,195001010000-201412312300,1950,2014,MPI-ESM1-2-LR/historical/r2i1p1f1
13,MPI-ESM1-2-LR,historical,r3i1p1f1,v1-r1,195001010000-201412312300,1950,2014,MPI-ESM1-2-LR/historical/r3i1p1f1
14,MPI-ESM1-2-LR,historical,r4i1p1f1,v1-r1,195001010000-201412312300,1950,2014,MPI-ESM1-2-LR/historical/r4i1p1f1
15,MPI-ESM1-2-LR,historical,r5i1p1f1,v1-r1,195001010000-201412312300,1950,2014,MPI-ESM1-2-LR/historical/r5i1p1f1
16,MPI-ESM1-2-LR,ssp126,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp126/r1i1p1f1
17,MPI-ESM1-2-LR,ssp245,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp245/r1i1p1f1
18,MPI-ESM1-2-LR,ssp370,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp370/r1i1p1f1
19,MPI-ESM1-2-LR,ssp370,r2i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp370/r2i1p1f1
20,MPI-ESM1-2-LR,ssp370,r3i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp370/r3i1p1f1
21,MPI-ESM1-2-LR,ssp370,r4i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp370/r4i1p1f1
22,MPI-ESM1-2-LR,ssp370,r5i1p1f1,v1-r1,201501010000-210012312300,2015,2100,MPI-ESM1-2-LR/ssp370/r5i1p1f1
23,NorESM2-MM,historical,r1i1p1f1,v1-r1,195001010000-201412312300,1950,2014,NorESM2-MM/historical/r1i1p1f1
24,NorESM2-MM,ssp126,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,NorESM2-MM/ssp126/r1i1p1f1
25,NorESM2-MM,ssp245,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,NorESM2-MM/ssp245/r1i1p1f1
26,NorESM2-MM,ssp370,r1i1p1f1,v1-r1,201501010000-210012312300,2015,2100,NorESM2-MM/ssp370/r1i1p1f1
